1;11/06/2021;21:00;ITALIA;TURCHIA
1;12/06/2021;15:00;GALLES;SVIZZERA
1;12/06/2021;18:00;DANIMARCA;FINLANDIA
1;12/06/2021;21:00;BELGIO;RUSSIA
1;13/06/2021;18:00;AUSTRIA;MACEDONIA DEL NORD
1;13/06/2021;21:00;OLANDA;UCRAINA
1;13/06/2021;15:00;INGHILTERRA;CROAZIA
1;13/06/2021;15:00;SCOZIA;REPUBBLICA CECA
1;14/06/2021;18:00;POLONIA;SLOVACCHIA
1;14/06/2021;21:00;SPAGNA;SVEZIA
1;15/06/2021;18:00;UNGHERIA;PORTOGALLO
1;15/06/2021;21:00;FRANCIA;GERMANIA
2;16/06/2021;18:00;TURCHIA;GALLES
2;16/06/2021;21:00;ITALIA;SVIZZERA
2;16/06/2021;15:00;FINLANDIA;RUSSIA
2;16/06/2021;18:00;DANIMARCA;DANIMARCA
2;17/06/2021;15:00;UCRAINA;MACEDONIA DEL NORD
2;17/06/2021;21:00;OLANDA;AUSTRIA
2;18/06/2021;18:00;CROAZIA;REPUBBLICA CECA
2;18/06/2021;21:00;INGHILTERRA;SCOZIA
2;18/06/2021;15:00;SVEZIA;SLOVACCHIA
2;19/06/2021;21:00;SPAGNA;POLONIA
2;19/06/2021;15:00;UNGHERIA;FRANCIA
2;19/06/2021;18:00;PORTOGALLO;GERMANIA
3;20/06/2021;18:00;ITALIA;GALLES
3;20/06/2021;18:00;SVIZZERA;TURCHIA
3;21/06/2021;21:00;RUSSIA;DANIMARCA
3;21/06/2021;21:00;FINLANDIA;BELGIO
3;21/06/2021;18:00;MACEDONIA DEL NORD;OLANDA
3;21/06/2021;18:00;UCRAINA;AUSTRIA
3;22/06/2021;21:00;REPUBBLICA CECA;INGHILTERRA
3;22/06/2021;21:00;CROAZIA;SCOZIA
3;23/06/2021;18:00;SLOVACCHIA;SPAGNA
3;23/06/2021;18:00;SVEZIA;POLONIA
3;23/06/2021;21:00;PORTOGALLO;FRANCIA
3;23/06/2021;21:00;GERMANIA;UNGHERIA
4;26/06/2021;18:00;ITALIA;ITALIA
4;26/06/2021;21:00;ITALIA;ITALIA
4;27/06/2021;18:00;ITALIA;ITALIA
4;27/06/2021;21:00;ITALIA;ITALIA
4;28/06/2021;18:00;ITALIA;ITALIA
4;28/06/2021;21:00;ITALIA;ITALIA
4;29/06/2021;18:00;ITALIA;ITALIA
4;29/06/2021;21:00;ITALIA;ITALIA
5;02/07/2021;18:00;ITALIA;ITALIA
5;02/07/2021;21:00;ITALIA;ITALIA
5;03/07/2021;18:00;ITALIA;ITALIA
5;03/07/2021;21:00;ITALIA;ITALIA
6;06/07/2021;21:00;ITALIA;ITALIA
6;07/07/2021;21:00;ITALIA;ITALIA
7;11/07/2021;21:00;ITALIA;ITALIA